thalos_id,fdc_id,name,fndds_code,dataset
100095,2340862,"Chocolate milk, Nesquik, NS as to type of milk",11513380,FNDDS
100096,2340867,"Chocolate milk, Nesquik, made with non-dairy milk",11513385,FNDDS
100097,2340876,"Chocolate milk, reduced sugar, whole",11513801,FNDDS
100098,2340877,"Chocolate milk, reduced sugar, reduced fat (2%)",11513802,FNDDS
100099,2340878,"Chocolate milk, reduced sugar, low fat (1%)",11513803,FNDDS
100100,2340879,"Chocolate milk, reduced sugar, fat free (skim)",11513804,FNDDS
100101,2340881,"Hot chocolate / cocoa, dry mix, made with water",11514100,FNDDS
100102,2340882,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",11514110,FNDDS
100103,2340884,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",11514130,FNDDS
100104,2340886,"Hot chocolate / cocoa, dry mix , made with non-dairy milk",11514150,FNDDS
100105,NA,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",11514160,FNDDS
100106,2340887,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",11514310,FNDDS
100107,2340888,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",11514320,FNDDS
100108,NA,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",11514325,FNDDS
100109,2340889,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",11514330,FNDDS
100110,2340890,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",11514340,FNDDS
100111,2340891,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",11514350,FNDDS
100112,2340892,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",11514360,FNDDS
100113,2340893,"Strawberry milk, NFS",11519040,FNDDS
100114,2340894,"Strawberry milk, whole",11519050,FNDDS
100115,2340895,"Strawberry milk, reduced fat (2%)",11519105,FNDDS
100116,2340896,"Strawberry milk, low fat (1%)",11519200,FNDDS
100117,2340897,"Strawberry milk, fat free  (skim)",11519205,FNDDS
100118,2340898,"Strawberry milk, reduced sugar",11519210,FNDDS
100119,2340900,"Milk, malted",11526000,FNDDS
100120,2340901,Eggnog,11531000,FNDDS
100121,2340902,"Milk shake, home recipe, chocolate",11541110,FNDDS
100122,2340903,"Milk shake, home recipe, flavors other than chocolate",11541120,FNDDS
100123,2340904,"Milk shake, home recipe, chocolate, light",11541130,FNDDS
100124,2340905,"Milk shake, home recipe, flavors other than chocolate, light",11541135,FNDDS
100125,2340906,Milk shake with malt,11541400,FNDDS
100126,2340907,"Milk shake, fast food, chocolate",11542100,FNDDS
100127,2340908,"Milk shake, fast food, flavors other than chocolate",11542200,FNDDS
100128,2340909,"Milk shake, bottled, chocolate",11543000,FNDDS
100129,2340910,"Milk shake, bottled, flavors other than chocolate",11543010,FNDDS
100130,2340911,Licuado or Batido,11551050,FNDDS
100131,2340912,"Fruit smoothie, NFS",11553100,FNDDS
100132,2340913,"Fruit smoothie, with whole fruit and dairy",11553110,FNDDS
100133,2340914,"Fruit smoothie, with whole fruit and dairy, added protein",11553120,FNDDS
100134,2340915,"Fruit smoothie juice drink, with dairy",11553130,FNDDS
100135,2340916,Chocolate milk drink,11560000,FNDDS
100136,2340917,"Infant formula, NFS",11710000,FNDDS
100137,2340918,"Infant formula, Similac, NFS",11710030,FNDDS
100138,2340919,"Infant formula, Similac Alimentum, ready-to-feed",11710051,FNDDS
100139,2340920,"Infant formula, Similac Alimentum, powder, made with water",11710056,FNDDS
100140,2340921,"Infant formula, Similac Advance, ready-to-feed",11710351,FNDDS
100141,2340922,"Infant formula, Similac Advance, powder, made with tap water",11710357,FNDDS
100142,2340923,"Infant formula, Similac Advance, powder, made with bottled water",11710358,FNDDS
100143,2340924,"Infant formula, Similac Advance, powder, made with baby water",11710359,FNDDS
100144,2340925,"Infant formula, Similac Sensitive, ready-to-feed",11710371,FNDDS
100145,2340926,"Infant formula, Similac Sensitive, powder, made with tap water",11710377,FNDDS
100146,2340927,"Infant formula, Similac Sensitive, powder, made with bottled water",11710378,FNDDS
100147,2340928,"Infant formula, Similac Sensitive, powder, made with baby water",11710379,FNDDS
100148,2340929,"Infant formula, Similac for Spit-Up, ready-to-feed",11710381,FNDDS
100149,2340930,"Infant formula, Similac for Spit-Up, powder, made with water",11710383,FNDDS
100150,2340931,"Toddler formula, Similac Go and Grow",11710481,FNDDS
100151,2340932,"Infant formula, Enfamil, NFS",11710605,FNDDS
100152,2340935,"Infant formula, Enfamil Infant, ready-to-feed",11710631,FNDDS
100153,2340936,"Infant formula, Enfamil Infant, powder, made with tap water",11710637,FNDDS
100154,2340937,"Infant formula, Enfamil Infant, powder, made with bottled water",11710638,FNDDS
100155,2340938,"Infant formula, Enfamil Infant, powder, made with baby water",11710639,FNDDS
100156,2340939,"Infant formula, Enfamil AR, ready-to-feed",11710661,FNDDS
100157,2340940,"Infant formula, Enfamil AR, powder, made with water",11710669,FNDDS
100158,2340941,"Infant formula, Enfamil Gentlease, ready-to-feed",11710671,FNDDS
100159,2340942,"Infant formula, Enfamil Gentlease, powder, made with tap water",11710677,FNDDS
100160,2340943,"Infant formula, Enfamil Gentlease, powder, made with bottled water",11710678,FNDDS
100161,2340944,"Infant formula, Enfamil Gentlease, powder, made with baby water",11710679,FNDDS
100162,2340945,"Toddler formula, Enfamil Enfagrow",11710689,FNDDS
100163,2340946,"Toddler formula, PediaSure",11710801,FNDDS
100164,2340947,"Toddler formula, Nido Kinder",11710807,FNDDS
100165,2340948,"Toddler formula, store brand, beginning or next stage",11710810,FNDDS
100166,2340949,"Toddler formula, store brand, pediatric shake",11710815,FNDDS
100167,2340950,"Infant formula, Gerber, NFS",11710905,FNDDS
100168,2340951,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",11710911,FNDDS
100169,2340952,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",11710917,FNDDS
100170,2340953,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",11710918,FNDDS
100171,2340954,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",11710919,FNDDS
100172,2340955,"Infant formula, Gerber Good Start Gentle, Stage 2",11710921,FNDDS
100173,2340956,"Toddler formula, Gerber Good Start, Stage 3",11710930,FNDDS
100174,2340957,"Infant formula, premature, powder, made with water",11710935,FNDDS
100175,2340958,"Infant formula, premature, ready-to-feed",11710945,FNDDS
100176,2340959,"Infant formula, organic, powder, made with water",11710954,FNDDS
100177,2340960,"Infant formula, organic, ready-to-feed",11710955,FNDDS
100178,2340961,"Infant formula, store brand, advantage or tender, powder, made with tap water",11710967,FNDDS
100179,2340962,"Infant formula, store brand, advantage or tender, powder, made with bottled water",11710968,FNDDS
100180,2340963,"Infant formula, store brand, advantage or tender, powder, made with baby water",11710969,FNDDS
100181,2340964,"Infant formula, store brand, gentle or sensitivity",11710970,FNDDS
100182,2340965,"Infant formula, store brand, added rice",11710980,FNDDS
100183,2340966,"Infant formula, Enfamil ProSobee, ready-to-feed",11720311,FNDDS
100184,2340967,"Infant formula, Enfamil ProSobee, powder, made with tap water",11720317,FNDDS
100185,2340968,"Infant formula, Enfamil ProSobee, powder, made with bottled water",11720318,FNDDS
100186,2340969,"Infant formula, Enfamil ProSobee, powder, made with baby water",11720319,FNDDS
100187,2340970,"Infant formula, Similac Isomil Soy, ready-to-feed",11720411,FNDDS
100188,2340971,"Infant formula, Similac Isomil Soy, powder, made with tap water",11720417,FNDDS
100189,2340972,"Infant formula, Similac Isomil Soy, powder, made with bottled water",11720418,FNDDS
100190,2340973,"Infant formula, Similac Isomil Soy, powder, made with baby water",11720419,FNDDS
100191,2340974,"Infant formula, Similac for Diarrhea",11720430,FNDDS
100192,2340975,"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",11720611,FNDDS
100193,2340976,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",11720617,FNDDS
100194,2340977,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",11720618,FNDDS
100195,2340978,"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",11720619,FNDDS
100196,2340979,"Infant formula, store brand, soy",11720809,FNDDS
100197,2340980,"Infant formula, Enfamil Nutramigen, ready-to-feed",11740311,FNDDS
100198,2340981,"Infant formula, Enfamil Nutramigen, powder, made with water",11740313,FNDDS
100199,2340982,"Infant formula, Enfamil Pregestimil, ready-to-feed",11740401,FNDDS
100200,2340983,"Infant formula, Enfamil Pregestimil, powder, made with water",11740403,FNDDS
100201,2340984,"Infant formula, amino acids",11740405,FNDDS
100202,2340985,"Infant formula, low iron",11740560,FNDDS
100203,2340986,"Milk, dry, not reconstituted",11810000,FNDDS
100204,2340988,"Whey, sweet, dry",11825000,FNDDS
100205,2340989,"Cocoa powder, not reconstituted",11830150,FNDDS
100206,2340990,"Chocolate beverage powder, dry mix, not reconstituted",11830160,FNDDS
100207,2340991,"Chocolate beverage powder, light, dry mix, not reconstituted",11830165,FNDDS
100208,2340992,"Milk, malted, dry mix, not reconstituted",11830260,FNDDS
100209,2340993,"Strawberry beverage powder, dry mix, not reconstituted",11830400,FNDDS
100210,2340994,"Cream, NS as to light, heavy, or half and half",12100100,FNDDS
100211,2340995,"Cream, light",12110100,FNDDS
100212,2340996,"Cream, half and half",12120100,FNDDS
100213,2340997,"Cream, half and half, flavored",12120106,FNDDS
100214,2340998,"Cream, half and half, fat free",12120110,FNDDS
100215,2340999,"Cream, heavy",12130100,FNDDS
100216,2341000,"Cream, whipped",12140000,FNDDS
100217,2341001,"Coffee creamer, NFS",12200100,FNDDS
100218,2341002,"Coffee creamer, liquid",12210200,FNDDS
100219,2341003,"Coffee creamer, liquid, flavored",12210210,FNDDS
100220,2341004,"Coffee creamer, liquid, fat free",12210260,FNDDS
100221,2341005,"Coffee creamer, liquid, fat free, flavored",12210270,FNDDS
100222,2341006,"Coffee creamer, liquid, fat free, sugar free, flavored",12210280,FNDDS
100223,2341007,"Coffee creamer, liquid, sugar free, flavored",12210310,FNDDS
100224,2341008,"Coffee creamer, powder",12210400,FNDDS
100225,2341009,"Coffee creamer, powder, flavored",12210420,FNDDS
100226,2341010,"Coffee creamer, powder, fat free",12210430,FNDDS
100227,2341012,"Coffee creamer,powder, sugar free, flavored",12210505,FNDDS
100228,2341013,"Coffee creamer, soy, liquid",12210520,FNDDS
100229,2341014,Whipped topping,12220200,FNDDS
100230,2341015,"Whipped topping, fat free",12220270,FNDDS
100231,2341016,"Whipped topping, sugar free",12220280,FNDDS
100232,2341017,"Sour cream, regular",12310100,FNDDS
100233,2341018,"Sour cream, light",12310350,FNDDS
100234,2341019,"Sour cream, fat free",12310370,FNDDS
100235,2341020,"Sour cream, imitation",12320100,FNDDS
100236,2341021,"Dip, NFS",12350010,FNDDS
100237,2341022,"Chipotle dip, regular",12350200,FNDDS
100238,2341023,"Chipotle dip, light",12350205,FNDDS
100239,2341024,"Onion dip, regular",12350220,FNDDS
100240,2341025,"Onion dip, light",12350225,FNDDS
100241,2341026,"Ranch dip, regular",12350230,FNDDS
100242,2341027,"Ranch dip, light",12350235,FNDDS
100243,2341028,"Spinach dip, regular",12350240,FNDDS
100244,2341029,"Spinach dip, light",12350245,FNDDS
100245,2341030,"Vegetable dip, regular",12350250,FNDDS
100246,2341031,"Vegetable dip, light",12350255,FNDDS
100247,2341032,"Ice cream, NFS",13110000,FNDDS
100248,2341033,"Ice cream, vanilla",13110100,FNDDS
100249,2341034,"Ice cream, vanilla, with additional ingredients",13110102,FNDDS
100250,2341035,"Ice cream, chocolate",13110110,FNDDS
100251,2341036,"Ice cream, chocolate, with additional ingredients",13110112,FNDDS
100252,2341037,"Ice cream, soft serve, vanilla",13110200,FNDDS
100253,2341038,"Ice cream, soft serve, chocolate",13110210,FNDDS
100254,2341039,"Gelato, vanilla",13110460,FNDDS
100255,2341040,"Gelato, chocolate",13110470,FNDDS
100256,2341041,"Ice cream bar, vanilla",13120050,FNDDS
100257,2341042,"Ice cream bar, vanilla, chocolate coated",13120100,FNDDS
100258,2341043,Ice cream candy bar,13120110,FNDDS
100259,2341044,"Ice cream bar, chocolate",13120140,FNDDS
100260,2341045,"Ice cream sandwich, vanilla",13120500,FNDDS
100261,2341046,"Ice cream sandwich, chocolate",13120510,FNDDS
100262,2341047,Ice cream cookie sandwich,13120550,FNDDS
100263,2341048,"Ice cream cone, scooped, vanilla",13120730,FNDDS
100264,2341049,"Ice cream cone, scooped, vanilla, waffle cone",13120735,FNDDS
100265,2341050,"Ice cream cone, NFS",13120740,FNDDS
100266,2341051,"Ice cream cone, scooped, chocolate",13120770,FNDDS
100267,2341052,"Ice cream cone, scooped, chocolate, waffle cone",13120775,FNDDS
100268,2341053,"Ice cream cone, soft serve, vanilla",13120782,FNDDS
100269,2341054,"Ice cream cone, soft serve, chocolate",13120784,FNDDS
100270,2341055,"Ice cream cone, soft serve, vanilla, waffle cone",13120786,FNDDS
100271,2341056,"Ice cream cone, soft serve, chocolate, waffle cone",13120788,FNDDS
100272,2341057,"Ice cream cone, vanilla, prepackaged",13120790,FNDDS
100273,2341058,"Ice cream cone, chocolate, prepackaged",13120792,FNDDS
100274,2341059,"Ice cream soda, flavors other than chocolate",13120800,FNDDS
100275,2341060,"Ice cream soda, chocolate",13120810,FNDDS
100276,2341061,"Ice cream sundae, NFS",13121000,FNDDS
100277,2341062,"Ice cream sundae, fruit topping",13121100,FNDDS
100278,2341063,Banana split,13121120,FNDDS
100279,2341064,"Ice cream sundae, hot fudge topping",13121300,FNDDS
100280,2341065,"Ice cream sundae, caramel topping",13121400,FNDDS
100281,2341066,"Ice cream, fried",13126000,FNDDS
100282,2341067,"Light ice cream, NFS",13130100,FNDDS
100283,2341068,"Light ice cream, vanilla",13130300,FNDDS
100284,2341069,"Light ice cream, chocolate",13130310,FNDDS
100285,2341070,"Soft serve, blended with candy or cookies, from fast food",13130700,FNDDS
100286,2341071,"Light ice cream sandwich, vanilla",13135000,FNDDS
100287,2341072,"Light ice cream sandwich, chocolate",13135010,FNDDS
100288,2341073,"Light ice cream bar, vanilla",13140000,FNDDS
100289,2341074,"Light ice cream bar, vanilla, chocolate coated",13140100,FNDDS
100290,2341075,"Light ice cream bar, chocolate",13140115,FNDDS
100291,2341076,Creamsicle,13140700,FNDDS
100292,2341077,Fudgesicle,13140900,FNDDS
100293,2341078,"Light ice cream cone, vanilla, prepackaged",13142100,FNDDS
100294,2341079,"Light ice cream cone, chocolate, prepackaged",13142110,FNDDS
100295,2341080,"Sherbet, all flavors",13150000,FNDDS
100296,2341081,"Fudgesicle, light",13161600,FNDDS
100297,2341082,"Pudding, chocolate, NFS",13200110,FNDDS
100298,2341083,"Pudding, bread",13210110,FNDDS
100299,2341084,"Pudding, flavors other than chocolate, NFS",13210280,FNDDS
100300,2341085,Custard,13210300,FNDDS
100301,2341086,Flan,13210350,FNDDS
100302,2341087,Creme brulee,13210370,FNDDS
100303,2341088,"Pudding, rice",13210410,FNDDS
100304,2341089,"Firni, Indian pudding",13210450,FNDDS
100305,2341090,"Pudding, tapioca, made from dry mix",13210520,FNDDS
100306,2341091,"Pudding, flavors other than chocolate, made from dry mix",13220110,FNDDS
100307,2341092,"Pudding, chocolate, made from dry mix",13220120,FNDDS
100308,2341093,"Pudding, flavors other than chocolate, made from dry mix, sugar free",13220210,FNDDS
100309,2341094,"Pudding, chocolate, made from dry mix, sugar free",13220220,FNDDS
100310,2341095,"Pudding, flavors other than chocolate, ready-to-eat",13230110,FNDDS
100311,2341096,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",13230120,FNDDS
100312,2341097,"Pudding, chocolate, ready-to-eat",13230130,FNDDS
100313,2341098,"Pudding, chocolate, ready-to-eat, sugar free",13230140,FNDDS
100314,2341099,"Pudding, tapioca, ready-to-eat",13230500,FNDDS
100315,2341100,Banana pudding,13241000,FNDDS
100316,2341101,Mousse,13250000,FNDDS
100317,2341102,Dulce de leche,13252200,FNDDS
100318,2341103,"Barfi or Burfi, Indian dessert",13252500,FNDDS
100319,2341104,Trifle,13252590,FNDDS
100320,2341105,Tiramisu,13252600,FNDDS
100321,2341106,White sauce or gravy,13411000,FNDDS
100322,2341107,"Cheese, NFS",14010000,FNDDS
100323,2341108,"Cheese, Blue or Roquefort",14101010,FNDDS
100324,2341109,"Cheese, Brick",14102010,FNDDS
100325,2341110,"Cheese, Camembert",14103010,FNDDS
100326,2341111,"Cheese, Brie",14103020,FNDDS
100327,2341112,"Cheese, Cheddar",14104100,FNDDS
100328,2341113,"Cheese, Cheddar, reduced fat",14104110,FNDDS
100329,2341114,"Cheese, Cheddar, nonfat or fat free",14104115,FNDDS
100330,2341115,"Cheese, Colby",14104200,FNDDS
100331,2341116,"Cheese, Colby Jack",14104250,FNDDS
100332,2341117,"Cheese, Feta",14104400,FNDDS
100333,2341118,"Cheese, Fontina",14104600,FNDDS
100334,2341119,"Cheese, goat",14104700,FNDDS
100335,2341120,"Cheese, Gouda or Edam",14105010,FNDDS
100336,2341121,"Cheese, Gruyere",14105200,FNDDS
100337,2341122,"Cheese, Limburger",14106010,FNDDS
100338,2341123,"Cheese, Monterey",14106200,FNDDS
100339,2341124,"Cheese, Monterey, reduced fat",14106500,FNDDS
100340,2341125,"Cheese, Mozzarella, NFS",14107010,FNDDS
100341,2341126,"Cheese, Mozzarella, part skim",14107030,FNDDS
100342,2341127,"Cheese, Mozzarella, reduced sodium",14107040,FNDDS
100343,2341128,"Cheese, Mozzarella, nonfat or fat free",14107060,FNDDS
100344,2341129,"Cheese, Muenster",14107200,FNDDS
100345,2341130,"Cheese, Muenster, reduced fat",14107250,FNDDS
100346,2341131,"Cheese, Parmesan, dry grated",14108010,FNDDS
100347,2341132,"Cheese, Parmesan, dry grated, reduced fat",14108015,FNDDS
100348,2341133,"Cheese, Parmesan, hard",14108020,FNDDS
100349,2341134,"Cheese, Parmesan, dry grated, fat free",14108060,FNDDS
100350,2341135,"Cheese, Port du Salut",14108200,FNDDS
100351,2341136,"Cheese, Provolone",14108400,FNDDS
100352,2341137,"Cheese, provolone, reduced fat",14108420,FNDDS
100353,2341138,"Cheese, Swiss",14109010,FNDDS
100354,2341139,"Cheese, Swiss, reduced sodium",14109020,FNDDS
100355,2341140,"Cheese, Swiss, reduced fat",14109030,FNDDS
100356,2341141,"Cheese, Swiss, nonfat or fat free",14109040,FNDDS
100357,2341142,"Cheese, Cheddar, reduced sodium",14110010,FNDDS
100358,2341143,"Cheese, paneer",14110050,FNDDS
100359,2341144,"Cheese, Mexican blend",14120010,FNDDS
100360,2341145,"Cheese, Mexican blend, reduced fat",14120020,FNDDS
100361,2341146,"Queso Anejo, aged Mexican cheese",14131000,FNDDS
100362,2341147,Queso Asadero,14131500,FNDDS
100363,2341148,Queso Fresco,14133000,FNDDS
100364,2341149,Queso cotija,14134000,FNDDS
100365,2341150,"Cheese, cottage, NFS",14200100,FNDDS
100366,2341151,"Cheese, cottage, creamed, large or small curd",14201010,FNDDS
100367,2341152,"Cottage cheese, farmer's",14201200,FNDDS
100368,2341153,"Cheese, Ricotta",14201500,FNDDS
100369,2341154,"Cheese, cottage, with fruit",14202010,FNDDS
100370,2341155,"Cheese, cottage, with vegetables",14202020,FNDDS
100371,2341156,"Cheese, cottage, dry curd",14203010,FNDDS
100372,2341157,"Cheese, cottage, salted, dry curd",14203020,FNDDS
100373,2341158,Puerto Rican white cheese,14203510,FNDDS
100374,2341159,"Cheese, cottage, low fat",14204010,FNDDS
100375,2341160,"Cheese, cottage, lowfat, with fruit",14204020,FNDDS
100376,2341161,"Cheese, cottage, lowfat, low sodium",14206010,FNDDS
100377,2341162,"Cheese, cottage, lowfat, lactose reduced",14207010,FNDDS
100378,2341163,"Cream cheese, regular, plain",14301010,FNDDS
100379,2341164,"Cream cheese, regular, flavored",14301100,FNDDS
100380,2341165,"Cream cheese, light",14303010,FNDDS
100381,2341166,"Cheese, American and Swiss blends",14410100,FNDDS
100382,2341167,"Cheese, American",14410110,FNDDS
100383,2341168,"Cheese, American, reduced fat",14410120,FNDDS
100384,2341169,"Cheese, American, nonfat or fat free",14410130,FNDDS
100385,2341170,"Cheese, American, reduced sodium",14410210,FNDDS
100386,2341171,"Cheese spread, American or Cheddar cheese base, reduced fat",14410330,FNDDS
100387,2341172,"Cream cheese, fat free",14410380,FNDDS
100388,2341173,"Cheese, processed cheese food",14410500,FNDDS
100389,2341174,"Cheese, processed, with vegetables",14410600,FNDDS
100390,2341175,"Cheese,  with wine",14410620,FNDDS
100391,2341176,"Cheese spread, American or Cheddar cheese base",14420100,FNDDS
100392,2341177,"Cheese spread, Swiss cheese base",14420160,FNDDS
100393,2341178,"Cheese spread, cream cheese",14420200,FNDDS
100394,2341180,"Cheese spread, pressurized can",14420300,FNDDS
100395,2341181,Imitation cheese,14502000,FNDDS
100396,2341182,"Cheese, cottage cheese, with gelatin dessert",14610200,FNDDS
100397,2341183,"Cheese, cottage cheese, with gelatin dessert and fruit",14610210,FNDDS
100398,2341184,"Cheese, cottage cheese, with gelatin dessert and vegetables",14610250,FNDDS
100399,2341185,Cheese ball,14610520,FNDDS
100400,2341186,Artichoke dip,14620110,FNDDS
100401,2341187,Spinach and artichoke dip,14620115,FNDDS
100402,2341188,Seafood dip,14620130,FNDDS
