thalos_id,calories,protein,fat,carbs
106498,21,0.72,0.27,4.6
106499,29,0.8,0.41,6.7
106500,345,12.35,15.85,51.13
106501,33,3.31,0.41,6.09
106502,284,9.25,0.73,73.01
106503,32,3.83,0.68,4.64
106504,109,4.8,0.63,23.54
106505,34,4.31,0.35,5.74
106506,684,5.3,69.08,21.52
106507,501,2.88,35.49,47.67
106508,318,12.14,4.6,58.26
106509,614,20.96,55.5,18.82
106510,56,0.82,0.19,12.64
106511,201,2.97,0.8,45.13
106512,89,4.13,0.53,17.28
106513,594,18.17,49.9,27.9
106514,592,20.06,51.3,22.89
106515,619,17.21,56.8,20.59
106516,617,17.28,55.2,23.32
106517,598,20.96,52.54,21.01
106518,609,12.12,53.03,30.3
106519,716,7.79,76.08,12.83
106520,594,17.3,51.45,25.35
106521,607,20.04,53.95,21.05
106522,446,18.55,19.4,53.75
106523,607,21.23,55.17,17.68
106524,614,20.96,55.5,18.82
106525,592,17.4,53.01,21.5
106526,674,8.21,70.89,0
106527,680,10.65,70.33,0
106528,157,20.72,7.37,0.6
106529,198,19.42,12.73,0
106530,149,21.72,6.29,0
106531,237,28.02,13,0
106532,194,27.82,8.32,0
106533,274,17.51,22.07,0
106534,471,21.57,41.98,0
106535,175,19.05,10.19,0.4
106536,295,30.76,18.13,0
106537,191,29.21,7.31,0
106538,172,29.25,5.22,0
106539,221,27.65,11.36,0
106540,160,22.1,7.27,0
106541,217,27.48,11.05,0
106542,149,21.17,6.57,0
106543,143,10.86,10.3,1.05
106544,196,12.57,15.83,0
106545,151,11.67,10.53,1.48
106546,112,17.72,3.94,0.14
106547,191,29.08,5.26,5.13
106548,175,26.52,4.68,5.16
106549,92,16.2,2.5,0
106550,120,20.4,3.7,0
106551,276,14.97,23.52,0
106552,207,29.16,9.12,0
106553,202,29.53,8.41,0
106554,206,29.65,8.8,0
106555,183,30.55,5.79,0
106556,188,30.29,6.55,0
106557,177,30.8,5.03,0
106558,213,28.16,10.32,0
106559,212,26.07,11.18,0
106560,224,25.51,12.8,0
106561,145,22.61,5.41,0
106562,203,28.92,8.76,0
106563,153,22.22,6.5,0
106564,212,27.86,10.37,0
106565,198,25.98,9.61,0
106566,144,22.41,5.34,0
106567,156,20.16,7.73,0
106568,145,20.8,6.28,0
106569,182,29.93,6.05,0
106570,162,30.09,3.77,0
106571,238,22.86,15.54,0
106572,277,25.38,18.66,0
106573,332,14.35,30,0
106574,157,19.71,8.54,0.21
106575,196,28.15,9.23,0
106576,133,20.39,5.73,0
106577,132,21.47,5.11,0
106578,137,21.28,5.75,0
106579,124,21.74,4.14,0
106580,220,27.51,12.26,0
106581,180,19.18,11.48,0
106582,185,19.14,12.02,0
106583,173,19.25,10.67,0
106584,245,26.06,15.09,0
106585,253,18.42,19.06,0.56
106586,331,25.85,24.5,0
106587,277,17.94,22.18,0
106588,302,30.12,19.22,0
106589,249,19.14,18.57,0
106590,309,30.2,19.93,0
106591,239,19.33,17.39,0
106592,359,26.37,27.26,0
106593,230,17.37,17.33,0
106594,318,27.33,22.35,0
106595,183,26.65,8.46,0
106596,322,16.34,27.93,0
106597,352,22.26,28.5,0
106598,365,22.6,29.79,0
106599,288,16.75,23.95,0
106600,400,22.57,33.7,0
106601,316,16.26,27.29,0
106602,338,21.55,27.22,0
106603,355,23.01,28.51,0
106604,324,21.55,25.71,0
106605,333,23.4,25.84,0
106606,367,15.77,33.26,0
106607,404,20.65,34.97,0
106608,393,22.86,32.74,0
